"행정구역(동읍면)별","항목",2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"경기도","남자인구수 (명)",6845505,215197,310627,344946,334073,407129,499355,493928,481821,592288,569490,624445,539597,524222,362507,220706,155542,108293,46601,12240,2079,419,6847848,214065,309342,344792,334018,405597,498988,496658,480333,592946,567113,625670,537143,528094,364799,221538,156251,108570,47024,12398,2081,428,6850133,213159,308388,344480,334140,404213,498256,498359,479285,593421,564692,627288,537650,528872,366672,222843,157263,108763,47316,12560,2083,430
"경기도","여자인구수 (명)",6758041,204922,296829,329192,317029,374603,439516,445608,454655,566710,553529,610258,527798,516821,375186,246654,195016,162500,94360,36629,8773,1453,6760071,203842,295823,328921,316974,373110,439121,447239,453324,567397,550454,611830,526249,520285,377423,247447,195525,162846,95068,36858,8850,1485,6762464,202965,294775,328819,317215,371773,438469,448332,452297,567998,547276,613588,527431,521211,379066,248674,196399,163200,95465,37085,8913,1513
"강원도","총인구수 (명)",1533719,40168,54534,64133,67110,82477,85300,79911,79491,103407,110945,132360,128886,150007,120671,75447,63506,54767,28033,9793,2408,365,1533356,39912,54302,64138,66823,82100,85220,80097,79227,103427,110182,132421,128142,150935,121436,75566,63639,54776,28335,9873,2432,373,1533081,39725,54068,64114,66639,81794,85270,80232,78913,103505,109488,132571,128315,150817,122018,75853,63746,54770,28440,9973,2447,383
"강원도","남자인구수 (명)",771574,20516,28027,33038,35173,45978,48033,43264,41461,52524,56701,68760,66145,74926,60592,35572,28115,21151,8848,2202,467,81,771382,20403,27913,33037,34987,45740,48013,43418,41278,52520,56360,68778,65714,75495,60956,35653,28212,21189,8944,2217,470,85,771322,20313,27792,33040,34922,45527,48116,43469,41169,52516,56015,68848,65772,75490,61240,35810,28315,21181,8990,2238,467,92
"강원도","여자인구수 (명)",762145,19652,26507,31095,31937,36499,37267,36647,38030,50883,54244,63600,62741,75081,60079,39875,35391,33616,19185,7591,1941,284,761974,19509,26389,31101,31836,36360,37207,36679,37949,50907,53822,63643,62428,75440,60480,39913,35427,33587,19391,7656,1962,288,761759,19412,26276,31074,31717,36267,37154,36763,37744,50989,53473,63723,62543,75327,60778,40043,35431,33589,19450,7735,1980,291
"충청북도","총인구수 (명)",1594056,43389,64066,72986,72484,86375,100100,93019,93421,115760,119437,137507,130946,142943,111355,71144,53299,48155,26867,8762,1754,287,1594109,43145,63786,72984,72317,86004,99964,93541,93079,115689,118734,137656,130619,143721,111907,71525,53300,48122,27115,8845,1763,293,1594007,42927,63599,72939,72110,85749,99750,93902,92741,115878,117832,137945,130996,143738,112104,72040,53496,48120,27145,8930,1774,292
"충청북도","남자인구수 (명)",810811,22318,32667,37593,37830,47214,56550,51998,49491,60131,61628,70863,67338,72818,55642,34322,23536,18267,8265,1961,331,48,810806,22256,32502,37578,37718,46979,56406,52319,49321,60078,61294,70945,67122,73296,55953,34475,23588,18274,8347,1974,335,46,810783,22134,32397,37556,37589,46825,56308,52542,49161,60169,60867,71108,67261,73321,56084,34726,23745,18254,8369,1993,329,45
"충청북도","여자인구수 (명)",783245,21071,31399,35393,34654,39161,43550,41021,43930,55629,57809,66644,63608,70125,55713,36822,29763,29888,18602,6801,1423,239,783303,20889,31284,35406,34599,39025,43558,41222,43758,55611,57440,66711,63497,70425,55954,37050,29712,29848,18768,6871,1428,247,783224,20793,31202,35383,34521,38924,43442,41360,43580,55709,56965,66837,63735,70417,56020,37314,29751,29866,18776,6937,1445,247
"충청남도","총인구수 (명)",2124650,60109,89887,102939,99230,110065,119203,121475,130072,164439,162702,179273,163613,179767,138284,100637,73966,68824,42009,14777,2899,480,2125333,59602,89557,102839,99231,109823,119200,121842,129678,164517,161859,179909,163020,180786,139113,100718,74433,68628,42270,14898,2908,502,2125833,59211,89257,102675,99319,109516,119187,122000,129297,164848,160790,180540,163463,180957,139479,101179,74773,68465,42399,15048,2922,508
"충청남도","남자인구수 (명)",1087705,30746,46067,53201,51451,60086,67353,66833,69427,87705,86230,95918,86099,92295,68922,48339,33268,25993,13496,3636,575,65,1088126,30522,45880,53146,51436,59890,67398,67073,69203,87719,85875,96275,85777,92833,69347,48407,33543,25925,13582,3657,569,69,1088548,30351,45723,53050,51482,59758,67466,67220,68995,87830,85387,96604,86041,92898,69558,48613,33808,25836,13603,3688,571,66
